WORD ID,word,Frequency,CAT ID,LEVEL ID
1,de,15226,1,L1
2,la,7493,12,L1
3,en,5973,10,L1
4,el,5435,12,L1
5,y,5422,12,L1
6,que,4171,12,L1
7,se,2845,12,L1
8,los,2800,12,L1
9,del,2645,1,L1
10,un,2205,12,L1
11,su,2051,5,L1
12,una,2023,12,L1
13,con,2014,12,L1
14,las,1946,12,L1
15,por,1899,8,L1
16,para,1498,5,L1
17,es,1206,1,L1
18,como,1140,12,L1
19,al,1055,13,L1
20,fue,944,9,L1
21,no,891,12,L1
22,más,855,2,L1
23,sus,663,12,L1
24,lo,652,15,L1
25,o,458,2,L1
26,también,390,12,L1
27,dos,379,4,L1
28,entre,373,12,L2
29,años,362,9,L1
30,pero,359,12,L1
31,ha,334,9,L3
32,este,330,13,L1
33,sobre,313,12,L2
34,le,311,12,L1
35,son,311,2,L1
36,hasta,294,9,L1
37,ser,292,12,L1
38,era,283,9,L1
39,año,280,1,L1
40,parte,267,5,L1
41,esta,264,13,L1
42,donde,257,10,L1
43,desde,249,9,L1
44,después,245,9,L1
45,puede,236,6,L1
46,sin,236,8,L1
47,durante,230,9,L1
48,tiene,225,2,L1
49,ya,211,15,L1
50,cuando,205,9,L1
51,muy,205,14,L1
52,había,203,9,L1
53,está,199,11,L1
54,vez,197,9,L1
55,primera,191,4,L1
56,mismo,188,12,L1
57,fueron,183,9,L1
58,tiempo,183,9,L1
59,sido,176,13,L1
60,otros,175,12,L1
61,ciudad,171,10,L1
62,embargo,171,2,L2
63,uno,171,4,L1
64,todo,170,12,L1
65,primer,168,7,L1
66,solo,165,13,L1
67,cada,162,5,L1
68,lugar,161,13,L1
69,gran,160,3,L1
70,tres,160,2,L1
71,forma,153,6,L1
72,nombre,150,3,L1
73,e,147,12,L1
74,mayor,140,2,L2
75,tanto,137,4,L2
76,todos,137,12,L1
77,pueden,136,6,L1
78,vida,135,11,L1
79,él,134,15,L1
80,han,134,9,L1
81,mientras,134,9,L2
82,así,133,8,L1
83,nuevo,132,6,L1
84,si,131,8,L1
85,grupo,127,5,L2
86,día,125,13,L1
87,contra,124,8,L1
88,otras,123,12,L1
89,ese,122,13,L1
90,antes,120,9,L1
91,cual,117,7,L2
92,personas,115,12,L1
93,trabajo,115,5,L1
94,estaba,111,13,L1
95,serie,109,3,L2
96,aunque,107,12,L2
97,mundo,107,10,L1
98,bajo,106,8,L1
99,estos,106,12,L1
100,otro,106,12,L1
101,quien,106,12,L1
102,entonces,105,9,L1
103,país,105,1,L1
104,varios,105,12,L2
105,hay,104,12,L1
106,cuenta,103,2,L2
107,hacia,103,13,L1
108,historia,103,9,L2
109,equipo,102,4,L2
110,estado,101,1,L2
111,mujeres,100,12,L1
112,través,100,6,L2
113,están,99,13,L1
114,final,99,4,L2
115,misma,98,12,L1
116,cuatro,97,2,L1
117,gobierno,96,1,L2
118,ellos,95,12,L1
119,encuentra,95,13,L2
120,junto,95,13,L2
121,siglo,95,9,L2
122,Además,94,12,L2
123,casa,94,13,L1
124,general,94,1,L2
125,diferentes,92,12,L2
126,largo,92,10,L1
127,sistema,92,6,L2
128,debido,91,14,L2
129,tuvo,91,9,L1
130,tienen,90,12,L1
131,juego,89,4,L2
132,nueva,89,13,L1
133,número,89,2,L1
134,hace,88,13,L1
135,unos,88,12,L1
136,luego,87,9,L1
137,obra,87,3,L2
138,días,86,13,L1
139,siendo,86,12,L1
140,temporada,86,3,L2
141,hombres,85,12,L1
142,tarde,85,13,L1
143,manera,84,12,L2
144,momento,84,9,L1
145,estas,83,12,L1
146,construcción,82,5,L2
147,familia,82,12,L1
148,millones,82,2,L2
149,padre,82,12,L1
150,tenía,82,9,L1
151,mayo,81,13,L1
152,muerte,81,11,L2
153,zona,81,10,L2
154,dentro,80,13,L1
155,mayoría,80,12,L2
156,muchos,80,12,L1
157,poco,80,12,L1
158,poder,80,1,L2
159,San,80,9,L1
160,último,80,9,L1
161,bien,79,11,L1
162,caso,79,8,L2
163,habían,79,9,L1
164,hecho,79,15,L1
165,tipo,79,15,L1
166,hijo,78,12,L1
167,nivel,78,7,L2
168,población,78,12,L2
169,segundo,78,9,L1
170,centro,77,10,L1
171,otra,77,12,L1
172,varias,77,12,L2
173,enero,76,13,L1
174,eran,76,9,L1
175,hizo,76,9,L1
176,menos,75,2,L1
177,película,75,3,L2
178,siguiente,75,9,L2
179,medio,74,12,L2
180,grandes,73,10,L1
181,comenzó,72,9,L2
182,guerra,72,1,L2
183,importante,72,12,L1
184,principal,72,7,L2
185,veces,72,13,L1
186,cuerpo,71,11,L1
187,esto,71,13,L1
188,haber,71,15,L1
189,sino,71,12,L2
190,llamado,70,15,L1
191,pesar,70,12,L2
192,porque,70,12,L1
193,punto,70,2,L2
194,edad,69,12,L1
195,época,69,9,L2
196,total,69,2,L2
197,álbum,68,3,L2
198,partir,68,9,L2
199,algunas,67,15,L1
200,casi,67,12,L1
201,debe,67,1,L2
202,febrero,67,13,L1
203,junio,67,13,L1
204,carrera,66,7,L2
205,Estados,66,1,L2
206,uso,66,6,L2
207,convirtió,65,9,L2
208,desarrollo,65,6,L3
209,diciembre,65,13,L1
210,fuera,65,13,L1
211,hacer,65,13,L1
212,julio,65,13,L1
213,septiembre,65,13,L1
214,agosto,64,13,L1
215,Estados Unidos,64,1,L1
216,segunda,64,9,L1
217,todas,64,12,L1
218,Unidos,64,1,L2
219,abril,63,13,L1
220,encuentran,62,13,L2
221,frente,62,10,L2
222,obras,62,3,L2
223,según,62,1,L2
224,les,61,12,L1
225,noviembre,61,9,L1
226,producción,61,5,L2
227,tras,61,9,L2
228,aún,60,9,L2
229,canción,60,3,L2
230,da,60,9,L1
231,título,60,7,L2
232,ver,60,3,L1
233,versión,60,6,L2
234,estudios,59,7,L2
235,mucho,59,2,L1
236,alrededor,58,10,L2
237,estaban,58,9,L2
238,madre,58,11,L1
239,mejor,58,4,L1
240,pueblo,58,12,L2
241,seis,58,4,L1
242,agua,57,10,L1
243,dice,57,8,L1
244,esa,57,12,L1
245,España,57,1,L1
246,primeros,57,9,L1
247,cinco,56,4,L1
248,hija,56,12,L1
249,hombre,56,12,L1
250,marzo,56,9,L1
251,proceso,56,6,L2
252,programa,56,6,L2
253,relación,56,12,L2
254,sí,56,8,L1
255,tan,56,12,L1
256,tener,56,5,L1
257,acuerdo,55,1,L2
258,cantidad,55,2,L2
259,cerca,55,10,L1
260,color,55,3,L1
261,nunca,55,9,L1
262,público,55,12,L2
263,toda,55,12,L1
264,ambos,54,12,L2
265,cambio,54,2,L2
266,meses,54,9,L1
267,muchas,54,12,L1
